exposure,exposure.field_id,exposure.field_type,exposure.id,outcome,mr1_estimate,mr1_cilower,mr1_ciupper,mr1_se,mr1_pval,mr2_estimate,mr2_cilower,mr2_ciupper,mr2_se,mr2_pval,meta.estimate,meta.se,meta.cilower,meta.ciupper,meta.p,meta.I2,meta.hetero.p
Alcohol intake frequency.,1558,Categorical (single),ukb-b-5779,BC,0.0591152907614225,-0.008214478620356,0.126445060143201,0.0343525543902169,0.0852796447500651,0.0519076430710981,-0.0129088878626854,0.116724174004882,0.0330702663135895,0.116504305387601,0.0553744370678353,0.0238246362554366,0.0086790080624123,0.102069866073258,0.020112039892439,0,0.879853287047448
Bread type: Wholemeal or wholegrain,1448,Categorical (single),ukb-d-1448_3,BC,-0.340176985852718,-0.64354392564135,-0.0368100460640852,0.154781895066212,0.0279645881228022,-0.333714469773782,-0.638108393855928,-0.0293205456916357,0.155305876272813,0.0316537284322433,-0.336956648035254,0.109632113377094,-0.55183164180337,-0.122081654267138,0.0021154850512159,0,0.976486971930865
Bread type: White,1448,Categorical (single),ukb-d-1448_1,BC,0.244591427376779,-0.0443890393692035,0.533571894122763,0.147441722922168,0.0971354618377436,0.274043791739962,-0.0035210221419436,0.551608605621868,0.141617303211335,0.0529778970563811,0.259910821659923,0.102135574155833,0.0597287747741715,0.460092868545675,0.0109351955117923,0,0.885448618802183
Bread type: Brown,1448,Categorical (single),ukb-d-1448_2,BC,-0.556611177749471,-1.23046412185669,0.117241766357745,0.343808840071799,0.105456859894677,-0.560415392190926,-1.23677477764162,0.115943993259772,0.345087660174235,0.104380118008475,-0.558506223112378,0.243560434474488,-1.0358759027413,-0.0811365434834537,0.0218427704812456,0,0.993768954708922
Cereal intake,1458,Integer,ukb-b-15926,BC,-0.115003106760884,-0.27568368039495,0.0456774668731819,0.0819813909344732,0.160677900333029,-0.117743033094217,-0.274225459596017,0.0387393934075825,0.0798394397734414,0.140280376918791,-0.116409330774163,0.0571972689486417,-0.228513917927552,-0.0043047436207738,0.0418282051077686,0,0.980897949727893
Cheese intake,1408,Categorical (single),ukb-b-1489,BC,-0.131992228422344,-0.246150356321714,-0.0178341005229729,0.0582450130715847,0.0234418938835258,-0.144659477468414,-0.254241538518832,-0.0350774164179953,0.0559102421854625,0.0096716731450168,-0.138584822695476,0.0403346593433835,-0.2176393023372,-0.0595303430537526,0.000590644769409,0,0.875327179543031
Lamb/mutton intake,1379,Categorical (single),ukb-b-14179,BC,-0.18163477141244,-0.383536164478808,0.020266621653928,0.103012807714295,0.0778625267521686,-0.187852163238816,-0.3852723865365,0.0095680600588685,0.100726454595549,0.0621851262072728,-0.184813229840275,0.0720191011187973,-0.325968074232066,-0.0436583854484842,0.0102828528499339,0,0.965578765265155
"Major dietary changes in the last 5 years: Yes, because of other reasons",1538,Categorical (single),ukb-d-1538_2,BC,-0.470855630178769,-1.06590751493514,0.124196254577603,0.30360347917108,0.120928023310912,-0.5916058097837,-1.15552517714141,-0.0276864424259867,0.287719249846343,0.039764083418919,-0.534471996604926,0.208837966898177,-0.94378689032992,-0.125157102879931,0.0104893318501614,0,0.772823785548123
Frequency of stair climbing in last 4 weeks,943,Categorical (single),ukb-b-298,BC,-0.207598942385344,-0.388130080751594,-0.0270678040190939,0.0921094161883874,0.0242068805178394,-0.218332576348943,-0.392217031863158,-0.0444481208347284,0.0887181891533689,0.0138562933852534,-0.2131669863414,0.0638984915361582,-0.338405728418707,-0.0879282442640925,0.0008498541995249,0,0.93311155470071
Able to confide,2110,Categorical (single),ukb-b-4982,BC,-0.0658452206780323,-0.14281205606126,0.011121614705195,0.0392695151494272,0.0935910741439777,-0.059663589571939,-0.135386758291049,0.0160595791471713,0.0386349796814661,0.122518239454606,-0.062704058813269,0.0275406574810664,-0.116682755586713,-0.0087253620398252,0.0227992781875703,0,0.910654933961237
