"exposure","exposure.field_id","exposure.field_type","exposure.id","outcome","mr1_estimate","mr1_cilower","mr1_ciupper","mr1_se","mr1_pval","mr2_estimate","mr2_cilower","mr2_ciupper","mr2_se","mr2_pval","meta.estimate","meta.se","meta.cilower","meta.ciupper","meta.p","meta.I2","meta.hetero.p"
"Alcohol drinker status: Never","20117","Categorical (single)","ukb-a-226","BC","-0.226517688551302","-1.78615859066955","1.33312321356694","0.795749776230835","0.775905064937187","-0.181932675760679","-1.59551038291698","1.23164503139562","0.721226368599841","0.800844270410172","-0.202040159275234","0.534393218221243","-1.24943162057132","0.845351302020857","0.705375653330543","0","0.966885588679331"
"Alcohol drinker status: Current","20117","Categorical (single)","ukb-d-20117_2","BC","0.360289331711446","-0.56137374498498","1.28195240840787","0.470244904481096","0.443572887544373","0.315489140962341","-0.569508243942185","1.20048652586687","0.451537575121417","0.484739759286482","0.336980402751675","0.325698024156791","-0.301375994431493","0.975336799934842","0.300836780743855","0","0.945213273813431"
"Alcohol drinker status: Previous","20117","Categorical (single)","ukb-a-227","BC","0.646964578172026","-0.668926180481511","1.96285533682556","0.671385172907827","0.335233190667932","0.650929183212469","-0.665046995700512","1.96690536212545","0.671428755473689","0.332311374443987","0.648946752016445","0.474756416564995","-0.28155872588024","1.57945222991313","0.171655195231591","0","0.99666851479735"
"Alcohol intake frequency.","1558","Categorical (single)","ukb-b-5779","BC","0.0591152907614225","-0.00821447862035601","0.126445060143201","0.0343525543902169","0.0852796447500651","0.0519076430710981","-0.0129088878626854","0.116724174004882","0.0330702663135895","0.116504305387601","0.0553744370678353","0.0238246362554366","0.00867900806241238","0.102069866073258","0.020112039892439","0","0.879853287047448"
"Bread type: Other type of bread","1448","Categorical (single)","ukb-d-1448_4","BC","0.364165970887271","-1.06795355785613","1.79628549963067","0.730686655489478","0.618210101234884","-0.16438138622359","-1.45122180637811","1.12245903393093","0.656563299277412","0.802304015212486","0.0717314181078895","0.488370016787505","-0.885456225924842","1.02891906214062","0.883227336323639","0","0.590540405543235"
"Bread type: Wholemeal or wholegrain","1448","Categorical (single)","ukb-d-1448_3","BC","-0.340176985852718","-0.64354392564135","-0.0368100460640852","0.154781895066212","0.0279645881228022","-0.333714469773782","-0.638108393855928","-0.0293205456916357","0.155305876272813","0.0316537284322433","-0.336956648035254","0.109632113377094","-0.55183164180337","-0.122081654267138","0.00211548505121591","0","0.976486971930865"
"Bread type: White","1448","Categorical (single)","ukb-d-1448_1","BC","0.244591427376779","-0.0443890393692035","0.533571894122763","0.147441722922168","0.0971354618377436","0.274043791739962","-0.00352102214194361","0.551608605621868","0.141617303211335","0.0529778970563811","0.259910821659923","0.102135574155833","0.0597287747741715","0.460092868545675","0.0109351955117923","0","0.885448618802183"
"Bread type: Brown","1448","Categorical (single)","ukb-d-1448_2","BC","-0.556611177749471","-1.23046412185669","0.117241766357745","0.343808840071799","0.105456859894677","-0.560415392190926","-1.23677477764162","0.115943993259772","0.345087660174235","0.104380118008475","-0.558506223112378","0.243560434474488","-1.0358759027413","-0.0811365434834537","0.0218427704812456","0","0.993768954708922"
"Cereal intake","1458","Integer","ukb-b-15926","BC","-0.115003106760884","-0.27568368039495","0.0456774668731819","0.0819813909344732","0.160677900333029","-0.117743033094217","-0.274225459596017","0.0387393934075825","0.0798394397734414","0.140280376918791","-0.116409330774163","0.0571972689486417","-0.228513917927552","-0.00430474362077383","0.0418282051077686","0","0.980897949727893"
"Cheese intake","1408","Categorical (single)","ukb-b-1489","BC","-0.131992228422344","-0.246150356321714","-0.0178341005229729","0.0582450130715847","0.0234418938835258","-0.144659477468414","-0.254241538518832","-0.0350774164179953","0.0559102421854625","0.00967167314501682","-0.138584822695476","0.0403346593433835","-0.2176393023372","-0.0595303430537526","0.000590644769409051","0","0.875327179543031"
"Cooked vegetable intake","1289","Integer","ukb-b-8089","BC","-0.0127013333292273","-0.183768532637272","0.158365865978818","0.0872807871253764","0.884298216860883","-0.0124626358591443","-0.183344655798107","0.158419384079818","0.0871863061193258","0.88633552695177","-0.0125818553298639","0.061683405229126","-0.133479108022741","0.108315397363013","0.838373253862751","0","0.998456207185423"
"Fresh fruit intake","1309","Integer","ukb-b-3881","BC","-0.100329001095495","-0.324965130741237","0.124307128550248","0.114612376256729","0.381368985642777","-0.0768078395858392","-0.299776663574747","0.146160984403068","0.113761694473805","0.499571358660885","-0.0884808064275847","0.0807407465624628","-0.246729761774888","0.0697681489197186","0.273138680753154","0","0.884194128959005"
