"exposure","exposure.field_id","exposure.field_type","exposure.id","outcome","mr1_estimate","mr1_cilower","mr1_ciupper","mr1_se","mr1_pval","mr2_estimate","mr2_cilower","mr2_ciupper","mr2_se","mr2_pval","meta.estimate","meta.se","meta.cilower","meta.ciupper","meta.p","meta.I2","meta.hetero.p"
"Body fat percentage","23099","Continuous","ukb-b-8909","BC","-0.0960239205246316","-0.215709489903548","0.0236616488542852","0.0610651880968127","0.115838767095123","-0.0885929529002868","-0.204840029264686","0.0276541234641124","0.0593108226892644","0.135252386221098","-0.0922001604535057","0.0425457888532995","-0.175588374299818","-0.00881194660719305","0.0302286966789094","0","0.930439435456719"
"Impedance of whole body","23106","Continuous","ukb-b-19921","BC","0.107116039174424","-0.0221919477284541","0.236424026077302","0.0659746750056852","0.104462640008525","0.10259211911582","-0.0220490301221785","0.227233268353818","0.0635935916277808","0.106691032967435","0.104770970876867","0.0457860987370408","0.0150318663596718","0.194510075394061","0.0221217837297235","0","0.960624904609329"
"Trunk fat mass","23128","Continuous","ukb-b-20044","BC","-0.0616385419608922","-0.14251278647916","0.0192357025573753","0.041263127871835","0.135229919344511","-0.0568240378839766","-0.134995137058202","0.0213470612902485","0.0398839467412814","0.15423394086803","-0.0591494859181859","0.0286773941758064","-0.115356145673225","-0.00294282616314668","0.03915232991863","0","0.933140699373239"
"Trunk fat-free mass","23129","Continuous","ukb-b-17409","BC","-0.153962610272795","-0.312455063089309","0.00452984254371985","0.0808649822479814","0.0569171355479419","-0.133686898813123","-0.291308040371591","0.0239342427453445","0.0804204275189562","0.096442615140071","-0.143768868552108","0.0570223536463699","-0.255530628012699","-0.0320071090915169","0.0116931397293703","0","0.858892068327106"
"Trunk predicted mass","23130","Continuous","ukb-b-9685","BC","-0.175496038921122","-0.323740694272774","-0.02725138356947","0.0756364180775702","0.0203268998303748","-0.147127846151598","-0.294299341789205","4.36494860084902e-05","0.0750888775500351","0.0500679874576919","-0.161208890621989","0.0532883844706872","-0.26565220497886","-0.056765576265119","0.00248455352089422","0","0.79010896949718"
"Weight","23098","Continuous","ukb-b-11842","BC","-0.0472038917842627","-0.149664421355298","0.0552566377867732","0.0522767409907689","0.366546254159211","-0.0403574538020878","-0.141779291762794","0.0610643841586188","0.0517467865535842","0.43544820310814","-0.0437457940873221","0.0367764390554794","-0.115826290115694","0.0283347019410497","0.234240620224693","0","0.925842374724334"
"Whole body fat mass","23100","Continuous","ukb-b-19393","BC","-0.0737088213924814","-0.161068858646537","0.0136512158615746","0.0445722666044584","0.0981900145925303","-0.0696109406302472","-0.154089369539183","0.0148674882786885","0.0431020312491917","0.106304866020777","-0.0715911817966506","0.0309844722378876","-0.132319631462891","-0.0108627321304097","0.0208577068416842","0","0.947305540858573"
"Whole body fat-free mass","23101","Continuous","ukb-b-13354","BC","-0.114321877229633","-0.269731099457336","0.0410873449980699","0.0792918765107682","0.149362896754377","-0.0993949050692195","-0.250035373673805","0.0512455635353665","0.0768587942394956","0.195936891439386","-0.106625861019317","0.0551874963821518","-0.214791366325269","0.00153964428663551","0.0533514146862952","0","0.892475044841814"
"Whole body water mass","23102","Continuous","ukb-b-14540","BC","-0.107617034598839","-0.264121999354015","0.0488879301563365","0.0798509390936094","0.17774713943566","-0.0849129218423387","-0.237309469210297","0.0674836255256194","0.0777547692559877","0.274806455248742","-0.0959630649223086","0.0557072488874573","-0.205147266419534","0.0132211365749167","0.0849551744248624","0","0.838581288289881"
"Hip circumference","49","Continuous","ukb-b-15590","BC","-0.0225043420004629","-0.121914653850036","0.0769059698491101","0.0507204788627285","0.657264263797547","-0.0252602138834179","-0.122078819006607","0.0715583912397715","0.0493981552145255","0.609099377888985","-0.0239186699584809","0.0353880214370813","-0.0932779174592916","0.0454405775423297","0.499105819501264","0","0.968950712715118"
"Standing height","50","Continuous","ukb-b-10787","BC","0.0700019350560118","-0.0390136710958039","0.179017541207827","0.0556212292734545","0.208193975955644","0.0725384147321368","-0.0348116982646939","0.179888527728968","0.0547714722533653","0.185375829147011","0.0712896985009424","0.0390262451123319","-0.00520033637106043","0.147779733372945","0.0677431283737861","0","0.974078698612894"
"Waist circumference","48","Continuous","ukb-b-9405","BC","-0.0186551833984455","-0.139458448896316","0.102148082099425","0.0616354516974555","0.762141594614725","-0.0268840095521239","-0.143540009854683","0.0897719907504356","0.0595194611853724","0.651496389112715","-0.0229132704544849","0.0428151347794476","-0.106829392615431","0.0610028517064607","0.592534008313904","0","0.923489949553468"
"Contra-indications for spirometry","3088","Categorical (single)","ukb-b-19206","BC","0.433032219536252","-0.0467250325397894","0.912789471612294","0.24477860606639","0.0768810136961249","0.531911316401303","0.032091709180403","1.0317309236222","0.255014689638898","0.0369961475917681","0.480447510461852","0.176592462302237","0.13433264440822","0.826562376515485","0.00651523343974604","0","0.779685177693743"
