exposure,exposure.type,exposure.id,outcome,mr1_estimate,mr1_cilower,mr1_ciupper,mr1_se,mr1_pval,mr2_estimate,mr2_cilower,mr2_ciupper,mr2_se,mr2_pval,meta.estimate,meta.se,meta.cilower,meta.ciupper,meta.p,meta.I2,meta.hetero.p
Alcohol intake frequency.,Alcohol,ukb-b-5779,CAD,0.159999215,0.082483603,0.237514827,0.039549508,5.22E-05,0.173582342,0.083377817,0.263786866,0.046023562,0.000162206,0.165768992,0.029995759,0.106978385,0.224559599,3.27E-08,0,0.822881568
Alcohol usually taken with meals,Alcohol,ukb-b-16878,CAD,-0.453768955,-0.706666573,-0.200871337,0.129031768,0.00043691,-0.558093273,-0.804014632,-0.312171915,0.125472387,8.67E-06,-0.507389862,0.08995441,-0.683697266,-0.331082458,1.70E-08,0,0.562153037
Average weekly red wine intake,Alcohol,ukb-b-5239,CAD,-0.188034489,-0.348559829,-0.02750915,0.081902189,0.021684913,-0.284372696,-0.495401722,-0.073343669,0.107669849,0.008262406,-0.223346328,0.065186099,-0.351108734,-0.095583922,0.000611892,0,0.476379553
Average weekly spirits intake,Alcohol,ukb-b-1707,CAD,0.238340189,0.017935161,0.458745218,0.112453611,0.034052168,0.329649774,0.05544435,0.603855199,0.139903297,0.018459555,0.274179078,0.087649014,0.102390168,0.445967988,0.001759116,0,0.610962271
Alcohol drinker status: Previous,Alcohol,ukb-a-227,CAD,1.487510718,-0.075769298,3.050790734,0.797606501,0.062185869,2.003496375,0.46455419,3.542438559,0.785189012,0.010722638,1.749551354,0.559551058,0.652851433,2.846251275,0.001767769,0,0.644788303
Alcohol drinker status: Current,Alcohol,ukb-d-20117_2,CAD,-0.977560267,-1.935594155,-0.01952638,0.488801781,0.045509829,-1.14218032,-2.395459225,0.111098586,0.639439763,0.074063587,-1.038275881,0.388336725,-1.799401875,-0.277149886,0.007503106,0,0.837938702
"Systolic blood pressure, automated reading",Blood pressure,ukb-b-20175,CAD,0.55692727,0.421640923,0.692213618,0.069024915,7.12E-16,0.540571878,0.415843443,0.665300313,0.063638126,1.99E-17,0.548086556,0.04678758,0.456384584,0.639788527,1.08E-31,0,0.861701935
"Diastolic blood pressure, automated reading",Blood pressure,ukb-b-7992,CAD,0.222409906,0.101042384,0.343777427,0.061923343,0.000328531,0.286219757,0.161956121,0.410483393,0.063400979,6.35E-06,0.253562586,0.0442996,0.166736965,0.340388207,1.04E-08,0,0.471520213
Whole body fat mass,Body composition by impedance,ukb-b-19393,CAD,0.32241797,0.226507155,0.418328785,0.048934988,4.44E-11,0.314292049,0.202116046,0.426468052,0.057233706,3.99E-08,0.318986318,0.037193512,0.246088375,0.391884262,9.79E-18,0,0.914065755
Arm fat mass (right),Body composition by impedance,ukb-b-6704,CAD,0.379080356,0.282380715,0.475779996,0.049337458,1.55E-14,0.330695967,0.220821087,0.440570846,0.056059642,3.66E-09,0.357961596,0.037036667,0.285371062,0.430552129,4.24E-22,0,0.517047613
Body mass index (BMI),Body composition by impedance,ukb-b-19953,CAD,0.438554492,0.350460059,0.526648925,0.044946965,1.72E-22,0.371251163,0.276332635,0.46616969,0.04842871,1.78E-14,0.407408915,0.032944492,0.342838897,0.471978933,3.97E-35,0.036242369,0.308379077
Leg fat mass (right),Body composition by impedance,ukb-b-18096,CAD,0.482217157,0.370908247,0.593526066,0.056791304,2.05E-17,0.497316014,0.370967813,0.623664214,0.064464552,1.21E-14,0.488814918,0.042613504,0.405293985,0.572335851,1.85E-30,0,0.860492523
Leg fat percentage (left),Body composition by impedance,ukb-b-18377,CAD,0.545734238,0.391504491,0.699963984,0.078690092,4.06E-12,0.609441812,0.434106914,0.784776709,0.089458224,9.59E-12,0.573524887,0.059084571,0.457721255,0.689328519,2.82E-22,0,0.592844852
Arm fat percentage (right),Body composition by impedance,ukb-b-12854,CAD,0.433469876,0.324358994,0.542580758,0.05566984,6.89E-15,0.424988461,0.295730709,0.554246214,0.065949045,1.16E-10,0.429940932,0.04253993,0.346564202,0.513317661,5.16E-24,0,0.921715092
Leg fat mass (left),Body composition by impedance,ukb-b-7212,CAD,0.523341746,0.409149348,0.637534144,0.058262498,2.65E-19,0.455133917,0.325384558,0.584883276,0.066199869,6.19E-12,0.493570048,0.043736278,0.407848518,0.579291577,1.55E-29,0,0.439258666
Body fat percentage,Body composition by impedance,ukb-b-8909,CAD,0.470651714,0.351789882,0.589513546,0.060644906,8.44E-15,0.502131432,0.37522986,0.629033004,0.06474689,8.81E-15,0.485362867,0.044261574,0.398611776,0.572113959,5.58E-28,0,0.722702186
Trunk fat mass,Body composition by impedance,ukb-b-20044,CAD,0.318468629,0.227193853,0.409743406,0.046569619,8.00E-12,0.377946362,0.269746357,0.486146367,0.055205099,7.58E-12,0.343196944,0.03559584,0.273430379,0.412963509,5.34E-22,0,0.410214908
Arm fat percentage (left),Body composition by impedance,ukb-b-20188,CAD,0.46821375,0.344623924,0.591803575,0.063057192,1.13E-13,0.4378373,0.311105671,0.564568928,0.064660182,1.28E-11,0.453406722,0.045144242,0.364925633,0.54188781,9.81E-24,0,0.736620731
Trunk fat percentage,Body composition by impedance,ukb-b-16407,CAD,0.436450583,0.327701093,0.545200073,0.055485453,3.66E-15,0.366864312,0.257503099,0.476225525,0.055797563,4.87E-11,0.401852611,0.039344023,0.324739742,0.478965479,1.72E-24,0,0.376525119
Impedance of whole body,Body composition by impedance,ukb-b-19921,CAD,-0.279804357,-0.411523153,-0.148085561,0.067204702,3.13E-05,-0.315427912,-0.449024209,-0.181831614,0.068162629,3.70E-06,-0.297364057,0.047855984,-0.391160062,-0.203568052,5.17E-10,0,0.70977512
Impedance of arm (left),Body composition by impedance,ukb-b-19379,CAD,-0.364878031,-0.502621546,-0.227134517,0.070278595,2.08E-07,-0.287637893,-0.437421524,-0.137854262,0.076421624,0.000167332,-0.329486709,0.051730078,-0.430875799,-0.228097619,1.90E-10,0,0.456903513
Whole body water mass,Body composition by impedance,ukb-b-14540,CAD,0.260506371,0.092982839,0.428029903,0.085472761,0.002305009,0.178028707,-0.004257033,0.360314447,0.093004638,0.055595663,0.222741969,0.062932898,0.099395755,0.346088183,0.000401104,0,0.513786746
Arm predicted mass (left),Body composition by impedance,ukb-b-9093,CAD,0.264903222,0.099379217,0.430427227,0.084452575,0.001708551,0.237540371,0.057376872,0.417703869,0.091921841,0.009761765,0.252378509,0.062190197,0.130487964,0.374269055,4.95E-05,0,0.82648988
Whole body fat-free mass,Body composition by impedance,ukb-b-13354,CAD,0.303760444,0.128413964,0.479106924,0.089464134,0.000685454,0.246907,0.070400646,0.423413354,0.090055917,0.006112071,0.275521136,0.063468888,0.151124401,0.399917871,1.42E-05,0,0.654243684
Leg predicted mass (left),Body composition by impedance,ukb-b-17271,CAD,0.289123616,0.117148604,0.461098627,0.087743965,0.000983927,0.166713711,-0.017244625,0.350672046,0.093858018,0.075694519,0.232035211,0.064096904,0.106407588,0.357662835,0.000294525,0,0.340732298
Arm fat-free mass (right),Body composition by impedance,ukb-b-19520,CAD,0.234060819,0.060689988,0.407431649,0.088456131,0.008143377,0.247430465,0.048582339,0.44627859,0.101454989,0.014735303,0.239834796,0.066673153,0.109157818,0.370511774,0.000321696,0,0.920878237
Arm fat-free mass (left),Body composition by impedance,ukb-b-19925,CAD,0.286795941,0.123305488,0.450286393,0.083415029,0.000585637,0.19530792,0.01605496,0.37456088,0.091457272,0.032719374,0.245250515,0.061630791,0.124456385,0.366044644,6.91E-05,0,0.459850186
Arm predicted mass (right),Body composition by impedance,ukb-b-16698,CAD,0.186806675,0.005043092,0.368570257,0.092738226,0.043973445,0.230979384,0.033278771,0.428679996,0.100869513,0.0220281,0.207041096,0.068269749,0.073234847,0.340847345,0.002423831,0,0.747167342
