"exposure","exposure.field_id","exposure.field_type","exposure.id","outcome","mr1_estimate","mr1_cilower","mr1_ciupper","mr1_se","mr1_pval","mr2_estimate","mr2_cilower","mr2_ciupper","mr2_se","mr2_pval","meta.estimate","meta.se","meta.cilower","meta.ciupper","meta.p","meta.I2","meta.hetero.p"
"Alcohol drinker status: Never","20117","Categorical (single)","ukb-a-226","CAD","0.114543377368656","-1.54315185934227","1.77223861407958","0.845778417249815","0.892272274053962","-0.981638468299293","-2.71041392907832","0.747136992479732","0.882044504090578","0.265745955396354","-0.410549401851086","0.610474065487455","-1.60705658370224","0.785957780000073","0.501259609762277","0","0.369707582636836"
"Alcohol drinker status: Current","20117","Categorical (single)","ukb-d-20117_2","CAD","-0.97756026739103","-1.93559415462708","-0.0195263801549836","0.488801781457668","0.0455098292226331","-1.20781894087591","-2.5066501647277","0.0910122829758826","0.662681168683101","0.068360280697402","-1.05869462058331","0.393367992517857","-1.82968171858913","-0.287707522577485","0.0071161499754415","0","0.779764428730873"
"Alcohol drinker status: Previous","20117","Categorical (single)","ukb-a-227","CAD","1.48751071789676","-0.075769297973838","3.05079073376736","0.797606501038566","0.0621858692228615","1.54349788193042","-0.179865424605655","3.26686118846648","0.87928315016487","0.0791900878152206","1.51278377442356","0.59076315401394","0.354909269162948","2.67065827968417","0.0104453086968331","0","0.962384786760894"
"Alcohol intake frequency.","1558","Categorical (single)","ukb-b-5779","CAD","0.159999215060407","0.0824836033904186","0.237514826730395","0.0395495081957738","5.22021003962136e-05","0.182624252883644","0.089565817525169","0.275682688242119","0.0474796660002471","0.000119881823021658","0.169267101609214","0.0303880864095009","0.109707546687502","0.228826656530927","2.54476753323682e-08","0","0.714262657504818"
"Beef intake","1369","Categorical (single)","ukb-b-2862","CAD","0.053648067069659","-0.123847383504259","0.231143517643577","0.090560567425718","0.553582862989072","0.264865054902437","0.0435850414897507","0.486145068315124","0.112900040591621","0.0189754041451536","0.136341706435803","0.0706424460340555","-0.00211494357076","0.274798356442366","0.0536037059560881","0.530454892805815","0.144467064356303"
"Bread intake","1438","Integer","ukb-b-11348","CAD","0.0111769418492001","-0.135294723281224","0.157648606979624","0.0747318146077038","0.881111223131861","-0.060908841678699","-0.225429375343984","0.103611691986586","0.0839405902164542","0.468072702147986","-0.0206963943390182","0.0558162902913994","-0.130094313060794","0.0887015243827573","0.71079031942256","0","0.521258909365742"
"Bread type: Other type of bread","1448","Categorical (single)","ukb-d-1448_4","CAD","-2.37417727303242","-4.17017597599461","-0.578178570070225","0.916342706870534","0.00957177287545248","-0.322436640558468","-2.39372479199601","1.74885151087907","1.05679908803202","0.76028477444652","-1.49362199031833","0.692324201787114","-2.85055249144652","-0.136691489190148","0.0309743136226378","0.535231410727843","0.142420623167188"
"Bread type: Wholemeal or wholegrain","1448","Categorical (single)","ukb-d-1448_3","CAD","-0.460227790947236","-0.761187808190198","-0.159267773704274","0.153553850793635","0.00272494073906365","-0.39015957224735","-0.752244117621772","-0.0280750268729285","0.184740407594475","0.0346920993672282","-0.431598673629066","0.118087883336198","-0.663046671978582","-0.20015067527955","0.000257288451034274","0","0.770532763782394"
"Bread type: White","1448","Categorical (single)","ukb-d-1448_1","CAD","0.231003479334498","-0.162634505383701","0.624641464052697","0.200839396959926","0.250065596679796","0.135902640954744","-0.234160365952546","0.505965647862035","0.188811126034101","0.471659910769609","0.180520150839699","0.137565458560006","-0.0891031934546512","0.450143495134049","0.189436095979988","0","0.730095469793352"
"Bread type: Brown","1448","Categorical (single)","ukb-d-1448_2","CAD","-0.440840309456997","-1.35101444637052","0.469333827456526","0.464383092798062","0.342466477481929","0.227773796669373","-0.71302011804819","1.16856771138694","0.480005715481726","0.635126934420663","-0.117590829405981","0.333754829417141","-0.771738274729887","0.536556615917925","0.72459306044477","0.0022093514760243","0.31677531827471"
"Cereal intake","1458","Integer","ukb-b-15926","CAD","-0.180290069298403","-0.325724298167876","-0.0348558404289307","0.0742025006666649","0.0151111826617792","-0.265873890433228","-0.465484808097415","-0.0662629727690407","0.101844176341348","0.00903848822632333","-0.209967492688636","0.0599726804742419","-0.327511786474478","-0.0924231989027931","0.000463424836964849","0","0.497018366159595"
"Cheese intake","1408","Categorical (single)","ukb-b-1489","CAD","-0.28907457620637","-0.403155117361589","-0.17499403505115","0.0582054272706399","6.81882231858525e-07","-0.146667074692951","-0.280073124131126","-0.0132610252547761","0.0680655616585125","0.0311781755714774","-0.228923617747625","0.0442366544994511","-0.315625867363091","-0.142221368132159","2.27940489001864e-07","0.604495395098704","0.111812439092414"
"Fresh fruit intake","1309","Integer","ukb-b-3881","CAD","-0.275095850687733","-0.505814955627748","-0.0443767457477174","0.117715992110007","0.0194420213276026","0.0108410010860908","-0.250489049802011","0.272171051974192","0.133334108661914","0.935197779118406","-0.149847306424736","0.088245494244224","-0.322805296941351","0.0231106840918799","0.0894939521149034","0.613073819432627","0.107916367681661"
"Hot drink temperature","1518","Categorical (single)","ukb-b-14203","CAD","0.0857604663310824","-0.124453580333068","0.295974512995233","0.107254035442637","0.423941833179173","-0.0404391166354263","-0.283827625396474","0.202949392125622","0.124180092430711","0.744689972878706","0.0318412428278134","0.0811698668416568","-0.127248772811746","0.190931258467373","0.694851999722848","0","0.44182940523055"
"Lamb/mutton intake","1379","Categorical (single)","ukb-b-14179","CAD","-0.00117028864246024","-0.229812813169935","0.227472235885014","0.116656492839143","0.991995819907534","0.102425072671895","-0.131159148912574","0.336009294256364","0.119177813177666","0.390102932389515","0.0495199736550289","0.0833657240955238","-0.113873843117301","0.212913790427358","0.552506227801894","0","0.534475509806476"
"Never eat eggs, dairy, wheat, sugar: Wheat products","6144","Categorical (multiple)","ukb-b-3599","CAD","0.00171870520098409","-3.11232768710701","3.11576509750898","1.58882837484321","0.999136893513043","0.802592289476262","-3.08620821904013","4.69139279799265","1.9841183507405","0.68583899478151","0.314622909180716","1.24019874700723","-2.11612196862517","2.7453677869866","0.799736998282709","0","0.752706498986107"
