"exposure","exposure.field_id","exposure.field_type","exposure.id","outcome","mr1_estimate","mr1_cilower","mr1_ciupper","mr1_se","mr1_pval","mr2_estimate","mr2_cilower","mr2_ciupper","mr2_se","mr2_pval","meta.estimate","meta.se","meta.cilower","meta.ciupper","meta.p","meta.I2","meta.hetero.p"
"Body fat percentage","23099","Continuous","ukb-b-8909","CAD","0.469735169998191","0.350467910812512","0.589002429183871","0.0608517606070543","1.1693751781349e-14","0.366873031785519","0.230045644717464","0.503700418853574","0.06981117415796","1.47848168829119e-07","0.425324237902147","0.04587141242596","0.335417921627282","0.515230554177012","1.82519607136573e-20","0.189410712257322","0.266694420967062"
"Impedance of whole body","23106","Continuous","ukb-b-19921","CAD","-0.279804357205553","-0.41152315323831","-0.148085561172797","0.0672047022658262","3.13455493237727e-05","-0.220199370333427","-0.371575904273323","-0.0688228363935322","0.0772343446787462","0.0043574421312177","-0.254120888688292","0.0506986044301083","-0.353488327437747","-0.154753449938837","5.37597016915811e-07","0","0.560435338397587"
"Trunk fat mass","23128","Continuous","ukb-b-20044","CAD","0.318468629367839","0.227193852835563","0.409743405900115","0.0465696192645579","7.99992283049735e-12","0.329423587661331","0.211588663168336","0.447258512154325","0.0601209641720262","4.26899898422503e-08","0.322576752033443","0.036816480887761","0.250417775455924","0.394735728610961","1.92244543100917e-18","0","0.88545807560474"
"Trunk fat-free mass","23129","Continuous","ukb-b-17409","CAD","0.268846038134974","0.111277029862052","0.426415046407895","0.0803938284151168","0.000825461395136052","0.0360715086745735","-0.145880454194416","0.218023471543562","0.0928343399696132","0.697603274942327","0.169089876829219","0.0607730159971227","0.0499769542429817","0.288202799415456","0.00539720714144645","0.721663453125922","0.0580313368237781"
"Trunk predicted mass","23130","Continuous","ukb-b-9685","CAD","0.222023952443004","0.0691140245094061","0.374933880376602","0.0780167029291007","0.0044292842751262","0.0347215061169075","-0.150728939612513","0.220171951846328","0.0946193130038255","0.713648831270535","0.146220752807349","0.0601938101780643","0.0282430527661024","0.264198452848595","0.0151336045159272","0.571309165738367","0.126683327203794"
"Weight","23098","Continuous","ukb-b-11842","CAD","0.399073368109148","0.287261941064461","0.510884795153835","0.0570476947161485","2.64439548473404e-12","0.184145639001054","0.045723268242846","0.322568009759263","0.0706249563002517","0.00912397782752559","0.31421025283889","0.0443783807870036","0.227230224804158","0.401190280873621","1.43889432751189e-12","0.821571272465069","0.0179146244022452"
"Whole body fat mass","23100","Continuous","ukb-b-19393","CAD","0.322417970407039","0.226507155411766","0.418328785402312","0.0489349884751991","4.43693553522491e-11","0.265772138291693","0.149164485569055","0.382379791014331","0.0594947935994866","7.92687310324698e-06","0.299559871341263","0.0377933193335342","0.225486326591314","0.373633416091211","2.25835060063069e-15","0","0.462136211256458"
"Whole body fat-free mass","23101","Continuous","ukb-b-13354","CAD","0.303760444193534","0.12841396430587","0.479106924081197","0.089464133663054","0.000685454030533203","0.233845807789682","0.0467369923942658","0.420954623185098","0.0954654355239721","0.0143041297418535","0.271069596610715","0.0652792561263142","0.143124605665574","0.399014587555857","3.28918129714623e-05","0","0.593080367755447"
"Whole body water mass","23102","Continuous","ukb-b-14540","CAD","0.260506370871456","0.0929828385581937","0.428029903184718","0.0854727605377784","0.00230500939370641","0.155977944582429","-0.0323752146449911","0.344331103809849","0.0961003164921017","0.104573543502963","0.214339366824599","0.0638665502192279","0.089163228578094","0.339515505071105","0.000790641346015439","0","0.416363185711981"
"Hip circumference","49","Continuous","ukb-b-15590","CAD","0.227876233902077","0.122677754454016","0.333074713350138","0.0536736798624124","2.18022681087606e-05","0.135941546107995","0.017259825283588","0.254623266932402","0.0605530110555874","0.0247680940923775","0.187425669895633","0.040165976667105","0.108701802224231","0.266149537567035","3.06702575217792e-06","0.225326399878439","0.255888374412065"
"Sitting height","20015","Continuous","ukb-b-16881","CAD","0.0259289186370245","-0.0858326252884839","0.137690462562533","0.0570222436774702","0.649313668483486","0.0391932660570901","-0.0994797062846805","0.177866238398861","0.0707528166005117","0.579615548012094","0.03115199108368","0.0443980416280194","-0.0558665714913481","0.118170553658708","0.482895984084283","0","0.883945586163335"
"Standing height","50","Continuous","ukb-b-10787","CAD","-0.0975546081780378","-0.204116807016475","0.00900759066039938","0.0543694678468514","0.072766847278433","-0.181697983386255","-0.308102435323702","-0.0552935314488077","0.0644932523936712","0.00484265928134529","-0.132511244492619","0.0415689574660654","-0.213984904000985","-0.0510375849842536","0.00143386829565282","0","0.318514301152334"
"Waist circumference","48","Continuous","ukb-b-9405","CAD","0.476591771742968","0.367379090588243","0.585804452897692","0.0557217795919619","1.19866661167445e-17","0.3961094500538","0.28270539983725","0.50951350027035","0.057860272490243","7.59615950154924e-12","0.437865373850322","0.0401359713687565","0.359200315483028","0.516530432217615","1.0376909101931e-27","0.00380958954240809","0.316386939514124"
"Contra-indications for spirometry","3088","Categorical (single)","ukb-b-19206","CAD","0.685353391831159","0.214072131062186","1.15663465260013","0.240454041240747","0.00436852997769822","-0.235023454764764","-0.908976301633045","0.438929392103517","0.343859811804878","0.494299633096145","0.383097495206649","0.197054324315687","-0.00312188344997238","0.76931687386327","0.0518808337998889","0.792162603228585","0.0282711876731548"
