"exposure","exposure.field_id","exposure.field_type","exposure.id","outcome","mr1_estimate","mr1_cilower","mr1_ciupper","mr1_se","mr1_pval","mr2_estimate","mr2_cilower","mr2_ciupper","mr2_se","mr2_pval","meta.estimate","meta.se","meta.cilower","meta.ciupper","meta.p","meta.I2","meta.hetero.p"
"Alcohol drinker status: Never","20117","Categorical (single)","ukb-a-226","Type2-Diabetes","-0.0328531848031967","-0.0677427233149853","0.0020363537085919","0.0178011120546055","0.064954776617378","-0.0114380477079728","-0.0646123726863326","0.0417362772703871","0.027130256166844","0.673318843918342","-0.0264082954403796","0.0148833672476301","-0.0555791592144177","0.00276256833365856","0.0760053552203144","0","0.509276168631071"
"Alcohol drinker status: Current","20117","Categorical (single)","ukb-d-20117_2","Type2-Diabetes","-0.0135103504153294","-0.0352704137665631","0.00824971293590433","0.0111022771453324","0.223642630408136","-0.0113988351463589","-0.0399371929071127","0.0171395226143949","0.0145606541680667","0.433714111688325","-0.012734068434035","0.00882863427675055","-0.0300378736491419","0.00456973678107192","0.149200857919997","0","0.908193555676252"
"Alcohol drinker status: Previous","20117","Categorical (single)","ukb-a-227","Type2-Diabetes","0.0134769421802128","-0.0208571335747898","0.0478110179352154","0.0175177074812728","0.441695931846546","0.0508503409364045","0.0108381466756242","0.0908625351971848","0.0204147599529335","0.0127433761086951","0.0293258402117137","0.0132942094244387","0.00326966853688096","0.0553820118865464","0.027390245546299","0.481924715488079","0.164734224864732"
"Alcohol intake frequency.","1558","Categorical (single)","ukb-b-5779","Type2-Diabetes","0.00294774170727277","0.00117330345094488","0.00472217996360065","0.000905342276860408","0.00113016939611503","0.0039988292391683","0.00226367194042588","0.00573398653791072","0.000885300603699415","6.27465214997001e-06","0.00348504823978753","0.000632968909283325","0.00224445197425862","0.00472564450531645","3.673373164966e-08","0","0.406495983832134"
"Beef intake","1369","Categorical (single)","ukb-b-2862","Type2-Diabetes","0.0019176237800601","-0.00253487499870631","0.0063701225588265","0.00227172479386721","0.398598553415339","0.00597198834789735","0.00121897506705615","0.0107250016287386","0.00242505133682678","0.0137924673347497","0.00381259198617366","0.00165790828467426","0.000563151458541529","0.0070620325138058","0.0214686315347494","0.32828242655458","0.222415023316677"
"Bread intake","1438","Integer","ukb-b-11348","Type2-Diabetes","0.000335543077254227","-0.00291930958474189","0.00359039573925034","0.00166066962845745","0.839875386186221","0.00130115121888746","-0.00218926792851426","0.00479157036628917","0.00178085881931183","0.465004379917643","0.000784666098955128","0.00121453963081389","-0.00159578783523666","0.00316512003314692","0.518240165603435","0","0.691698036262444"
"Bread type: Other type of bread","1448","Categorical (single)","ukb-d-1448_4","Type2-Diabetes","0.00620890629634498","-0.0385233929612081","0.050941205553898","0.0228230210403843","0.785586827847145","0.0021033533283697","-0.0629767205176422","0.0671834271743816","0.0332047294538855","0.949491789080534","0.00489161896404515","0.0188085092047084","-0.0319723816800735","0.0417556196081637","0.794806088461222","0","0.918840003228361"
"Bread type: Wholemeal or wholegrain","1448","Categorical (single)","ukb-d-1448_3","Type2-Diabetes","-0.000365732881002085","-0.00832314413718411","0.00759167837517994","0.00405997830518778","0.928221678096081","-0.0071716398905978","-0.0143600025494368","1.67227682412088e-05","0.00366759936179435","0.0505353584526431","-0.00411337746827458","0.002721561055055","-0.0094475391179092","0.00122078418136004","0.130685625384031","0.353746337239004","0.213522639297773"
"Bread type: White","1448","Categorical (single)","ukb-d-1448_1","Type2-Diabetes","0.00198334561227836","-0.00539666852490205","0.00936335974945876","0.00376538252508363","0.598380052686682","0.00241646423576127","-0.00530983579714621","0.0101427642686688","0.00394206224902679","0.53987968145992","0.00218998164969561","0.00272284601449833","-0.00314669847416955","0.00752666177356076","0.421224458610189","0","0.936674196995819"
"Bread type: Brown","1448","Categorical (single)","ukb-d-1448_2","Type2-Diabetes","0.00261271790981027","-0.0155795333987146","0.0208049692183351","0.00928193142936451","0.778338973333347","-0.00305334511476223","-0.0305845083413061","0.0244778181117816","0.0140467699629718","0.827920079359885","0.000890622770621389","0.00774398209621198","-0.0142873032348771","0.0160685487761199","0.908438486496397","0","0.736467067261767"
"Cheese intake","1408","Categorical (single)","ukb-b-1489","Type2-Diabetes","-0.00300189627189034","-0.00552827954421728","-0.000475512999563393","0.00128899474289055","0.0198661557177691","-0.00379506217100784","-0.00625796248679481","-0.00133216185522087","0.00125660488417849","0.00252698038487729","-0.0034085697213833","0.000899786838073815","-0.00517211951777115","-0.00164501992499545","0.000151744563201793","0","0.659495779963347"
"Fresh fruit intake","1309","Integer","ukb-b-3881","Type2-Diabetes","0.00158060695657693","-0.00367349223721196","0.00683470615036583","0.00268071211268807","0.55544406910571","0.000101585174127089","-0.00500295355643364","0.00520612390468782","0.00260440435172518","0.968886285166188","0.000819746049884014","0.0018679866258106","-0.00284144046030727","0.0044809325600753","0.660777940396451","0","0.692310427626394"
"Hot drink temperature","1518","Categorical (single)","ukb-b-14203","Type2-Diabetes","-0.000675146402181588","-0.0051341010684894","0.00378380826412623","0.00227501867456723","0.766645765416813","0.000303800842669885","-0.0039437441727292","0.00455134585806897","0.00216715462574985","0.888514453314708","-0.000161916166834745","0.00156915690317598","-0.00323740718315206","0.00291357484948257","0.917814773063067","0","0.755369975377063"
"Lamb/mutton intake","1379","Categorical (single)","ukb-b-14179","Type2-Diabetes","0.00390875508219617","-0.000680867325120831","0.00849837748951317","0.00234168711441606","0.0950768236451946","0.004104046227584","-0.000879536244312421","0.00908762869948041","0.00254269084085538","0.106515210153726","0.00399837754878388","0.0017225059412979","0.000622327940683724","0.00737442715688403","0.020273022109738","0","0.954946354911137"
"Major dietary changes in the last 5 years: Yes, because of other reasons","1538","Categorical (single)","ukb-d-1538_2","Type2-Diabetes","0.0092410042164887","-0.00395372955049976","0.0224357379834772","0.00673213072845564","0.169854482355666","-0.00599886657080196","-0.0210168381373679","0.00901910499576401","0.00766237118897379","0.433686131295983","0.00260184493146541","0.00505742077752878","-0.00731051764715556","0.0125142075100864","0.606929833729415","0.552069424180531","0.135136016307958"
"Major dietary changes in the last 5 years: No","1538","Categorical (single)","ukb-d-1538_0","Type2-Diabetes","-0.0103111922645125","-0.0196138228889544","-0.00100856164007047","0.0047463273293897","0.0298212059459109","-0.017182826917731","-0.0268866720583696","-0.00747898177709239","0.00495103237466674","0.000519385230872283","-0.01360201839858","0.00342624334039327","-0.020317331948021","-0.00688670484913897","7.18873944705279e-05","0.00379120140470559","0.316391405862871"
"Major dietary changes in the last 5 years: Yes, because of illness","1538","Categorical (single)","ukb-d-1538_1","Type2-Diabetes","0.0415877185325395","0.0226911617809526","0.0604842752841265","0.00964127754420009","1.60685022865343e-05","0.029645256235015","0.00800825549364221","0.0512822569763877","0.0110394889457371","0.00724467289486416","0.0364202345318492","0.00726175512377974","0.0221874560246917","0.0506530130390067","5.29373529958171e-07","0","0.415185829601917"
"Never eat eggs, dairy, wheat, sugar: Wheat products","6144","Categorical (multiple)","ukb-b-3599","Type2-Diabetes","0.0437705571367568","-0.0276751082222461","0.11521622249576","0.0364525399050989","0.229846384490311","0.0171833174968686","-0.0418008436729558","0.076167478666693","0.0300945127742571","0.56801426798458","0.0279597215645223","0.0232074862932181","-0.0175261157418921","0.0734455588709366","0.228291467000829","0","0.573807413453935"
"Never eat eggs, dairy, wheat, sugar: I eat all of the above","6144","Categorical (multiple)","ukb-b-2393","Type2-Diabetes","-0.0157771016718337","-0.0248757438231903","-0.00667845952047706","0.00464224966536404","0.000677342594092196","-0.0175429616262841","-0.0273090402219796","-0.00777688303058866","0.00498278472090766","0.000430385995155258","-0.0165976333855094","0.00339657869173498","-0.0232548052919662","-0.00994046147905268","1.02605732725183e-06","0","0.795406172759934"
