"exposure","exposure.field_id","exposure.field_type","exposure.id","outcome","mr1_estimate","mr1_cilower","mr1_ciupper","mr1_se","mr1_pval","mr2_estimate","mr2_cilower","mr2_ciupper","mr2_se","mr2_pval","meta.estimate","meta.se","meta.cilower","meta.ciupper","meta.p","meta.I2","meta.hetero.p"
"Body fat percentage","23099","Continuous","ukb-b-8909","Type2-Diabetes","0.00761475940069475","0.00456523306219872","0.0106642857391908","0.00155590937514684","9.87619971116211e-07","0.00822444480191122","0.00541017657648091","0.0110387130273415","0.00143587752001001","1.01730746795568e-08","0.00794402364758189","0.0010552048677472","0.00587586011048602","0.0100121871846778","5.13586324163011e-14","0","0.77337293016128"
"Impedance of whole body","23106","Continuous","ukb-b-19921","Type2-Diabetes","-0.00635552696353213","-0.0091147494069756","-0.00359630452008866","0.00140779242129339","6.34560964509639e-06","-0.00644115397094817","-0.00931777924796548","-0.00356452869393086","0.00146769292686384","1.14069528840625e-05","-0.00639655750693561","0.0010159760086501","-0.00838783389304655","-0.00440528112082466","3.05477569341891e-10","0","0.966416020415289"
"Trunk fat mass","23128","Continuous","ukb-b-20044","Type2-Diabetes","0.00585942799672328","0.00375335067940185","0.0079655053140447","0.00107454898862117","4.9549798478796e-08","0.00682875745117999","0.00480563243115239","0.00885188247120758","0.00103222561025904","3.7013086086715e-11","0.00636355790412117","0.000744406499828769","0.00490454797459926","0.00782256783364308","1.24700001258749e-17","0","0.515336981512756"
"Trunk fat percentage","23127","Continuous","ukb-b-16407","Type2-Diabetes","0.00481395643312803","0.00246155002342429","0.00716636284283178","0.00120022940638666","6.04970560698024e-05","0.00620043541497526","0.00405268989258157","0.00834818093736896","0.00109580866757493","1.52862478731956e-08","0.00557012098417125","0.000809256586905289","0.00398400721958508","0.00715623474875743","5.86010116831605e-12","0","0.393603201099076"
"Trunk fat-free mass","23129","Continuous","ukb-b-17409","Type2-Diabetes","0.00739478479627725","0.00366737797041165","0.0111221916221428","0.00190177312198944","0.000100922489027181","0.00823760718730182","0.00445643208039171","0.0120187822942119","0.00192920642253405","1.95520327175138e-05","0.00781016092579219","0.00135435162840838","0.00515568051170859","0.0104646413398758","8.08311918211498e-09","0","0.755708218445856"
"Trunk predicted mass","23130","Continuous","ukb-b-9685","Type2-Diabetes","0.00624633896868694","0.00272291245292398","0.00976976548444989","0.00179769962282741","0.000511560618783056","0.00654722153207668","0.0028961624535298","0.0101982806106236","0.00186281947390155","0.00044027778517278","0.0063914293074407","0.00129357468082643","0.003856069521708","0.0089267890931734","7.77608843360896e-07","0","0.907473995799329"
"Weight","23098","Continuous","ukb-b-11842","Type2-Diabetes","0.00638165917686275","0.00389453972744006","0.00886877862628544","0.00126896181207449","4.92942644173944e-07","0.00730670892690283","0.00499596411435291","0.00961745373945275","0.0011789730988818","5.73598857368592e-10","0.00687814398033428","0.000863722694019454","0.00518527860742624","0.00857100935324231","1.67414964391049e-15","0","0.593302642578937"
"Whole body fat mass","23100","Continuous","ukb-b-19393","Type2-Diabetes","0.00682947445354766","0.00457100583045864","0.00908794307663669","0.00115230108354211","3.08868059814649e-09","0.00686485085146946","0.0047954901329914","0.00893421156994752","0.00105581568579878","7.92904223586215e-11","0.00684870550621635","0.000778453782701804","0.00532296412849185","0.00837444688394086","1.39484796376325e-18","0","0.981940931737451"
"Whole body fat-free mass","23101","Continuous","ukb-b-13354","Type2-Diabetes","0.00763042582440649","0.00406467084518726","0.0111961808036257","0.00181929617449374","2.73880247225016e-05","0.00859190575484925","0.00505063531017041","0.0121331761995281","0.0018068038354847","1.9814571312583e-06","0.00811447816122601","0.00128199712919787","0.00560180995971443","0.0106271463627376","2.45860765079075e-10","0","0.707672283549277"
"Whole body water mass","23102","Continuous","ukb-b-14540","Type2-Diabetes","0.00599874736873606","0.00231167641039909","0.00968581832707302","0.0018811932195796","0.0014286509567437","0.00776442189209057","0.00395541521092563","0.0115734285732555","0.00194340646624627","6.46222020061766e-05","0.00685287070079189","0.00135166357630675","0.00420365877201605","0.00950208262956772","3.97914113397251e-07","0","0.513883219697883"
"Hip circumference","49","Continuous","ukb-b-15590","Type2-Diabetes","0.00600825558140164","0.00378783155172223","0.00822867961108105","0.0011328902200213","1.13618428570374e-07","0.0062231775126277","0.00410989160887764","0.00833646341637776","0.00107822690642246","7.84864230289121e-09","0.0061210266089873","0.000781031530560042","0.00459023293829942","0.00765182027967518","4.61050174531427e-15","0","0.890698482113235"
"Sitting height","20015","Continuous","ukb-b-16881","Type2-Diabetes","-0.00128156744099246","-0.00362571790498507","0.00106258302300015","0.0011960171117852","0.283931480110095","-0.000652730609543526","-0.00308731632214784","0.00178185510306079","0.00124215839260722","0.599248871919982","-0.000979045194772313","0.000861562228285126","-0.00266767613265124","0.000709585743106611","0.255805763632228","0","0.715351352747841"
"Standing height","50","Continuous","ukb-b-10787","Type2-Diabetes","-0.00109625270457631","-0.00337737999331813","0.0011848745841655","0.00116386183967412","0.346238896235251","-0.000291895919186718","-0.00259945384828811","0.00201566200991468","0.00117734710806072","0.804191031768545","-0.000698707220567746","0.000827701169180028","-0.00232097170212229","0.000923557260986804","0.39858337736331","0","0.627062303609706"
"Waist circumference","48","Continuous","ukb-b-9405","Type2-Diabetes","0.0100466674971361","0.00774804457737805","0.0123452904168941","0.00117278834605598","1.06696745292512e-17","0.0108781164740254","0.0087065289731727","0.013049703974878","0.0011079731658244","9.41634256219039e-23","0.0104860012180276","0.000805394593600898","0.00890745682122659","0.0120645456148287","9.45335720031454e-39","0","0.606314145292722"
"Contra-indications for spirometry","3088","Categorical (single)","ukb-b-19206","Type2-Diabetes","0.0110109127221316","-0.00106886386513685","0.0230906893094","0.00616326457146772","0.0740120232416828","0.014244572662058","0.000296072486197483","0.0281930728379185","0.00711671249363993","0.0453313848824612","0.0123967697473441","0.00465898660544821","0.00326532379621109","0.0215282156984771","0.00779483802957108","0","0.731240881306634"
