exposure,exposure.type,exposure.id,outcome,mr1_estimate,mr1_cilower,mr1_ciupper,mr1_se,mr1_pval,mr2_estimate,mr2_cilower,mr2_ciupper,mr2_se,mr2_pval,meta.estimate,meta.se,meta.cilower,meta.ciupper,meta.p,meta.I2,meta.hetero.p
Alcohol intake versus 10 years previously,Alcohol,ukb-b-3460,Type2-Diabetes,0.784797444,0.096130083,1.473464806,0.351367355,0.02551253,0.995914208,0.476808827,1.51501959,0.264854551,0.000169757,0.919422096,0.211499028,0.504891618,1.333952574,1.38E-05,0,0.631368039
Alcohol usually taken with meals,Alcohol,ukb-b-16878,Type2-Diabetes,-0.338166893,-0.910971764,0.234637978,0.292252753,0.247229785,-0.522430612,-0.910217727,-0.134643496,0.197854205,0.008278801,-0.464519898,0.163839327,-0.785639078,-0.143400717,0.00457947,0,0.601600373
Pulse rate,Arterial stiffness,ukb-b-15892,Type2-Diabetes,0.057880667,-0.196918709,0.312680043,0.13000207,0.65615441,0.217757369,0.036410597,0.39910414,0.092525563,0.018598443,0.164001689,0.075382382,0.016254935,0.311748443,0.029585404,0.003874784,0.316371104
"Systolic blood pressure, automated reading",Blood pressure,ukb-b-20175,Type2-Diabetes,0.379494644,0.12123973,0.637749559,0.131765133,0.003975693,0.329452812,0.153719727,0.505185898,0.089661385,0.000238398,0.345290421,0.07412739,0.200003406,0.490577436,3.19E-06,0,0.753534045
"Pulse rate, automated reading",Blood pressure,ukb-b-18103,Type2-Diabetes,0.171058992,-0.022567815,0.364685799,0.098791003,0.083358348,0.154552794,0.026504913,0.282600675,0.065331752,0.017997904,0.159575098,0.054493583,0.052769637,0.266380559,0.003407901,0,0.889162491
"Diastolic blood pressure, automated reading",Blood pressure,ukb-b-7992,Type2-Diabetes,0.282422277,0.025775622,0.539068932,0.130944577,0.031020648,0.128321455,-0.038813933,0.295456843,0.085274724,0.132375353,0.174212809,0.071457937,0.034157826,0.314267793,0.014769713,0,0.324054371
Whole body fat mass,Body composition by impedance,ukb-b-19393,Type2-Diabetes,0.656217912,0.410602997,0.901832827,0.125316035,1.64E-07,0.793236691,0.63002504,0.956448343,0.083272781,1.64E-21,0.751266663,0.06935635,0.615330715,0.887202611,2.43E-27,0,0.362474161
Weight,Body composition by impedance,ukb-b-11842,Type2-Diabetes,0.736487098,0.457888615,1.015085581,0.142144695,2.20E-07,0.891637512,0.704938168,1.078336857,0.095256518,7.94E-21,0.843554982,0.079131217,0.688460647,0.998649317,1.56E-26,0,0.364552423
Arm fat mass (left),Body composition by impedance,ukb-b-8338,Type2-Diabetes,0.718098017,0.484311457,0.951884577,0.119281049,1.74E-09,0.792833469,0.623321664,0.962345274,0.086487204,4.86E-20,0.767081499,0.070018588,0.629847588,0.904315409,6.26E-28,0,0.611983797
Leg fat percentage (right),Body composition by impedance,ukb-b-20531,Type2-Diabetes,1.05941811,0.656615653,1.462220567,0.205515234,2.54E-07,1.152125881,0.896529584,1.407722178,0.13040867,1.00E-18,1.125512961,0.110111382,0.909698619,1.341327304,1.59E-24,0,0.703285984
Arm fat mass (right),Body composition by impedance,ukb-b-6704,Type2-Diabetes,0.681099559,0.432534446,0.929664672,0.126821265,7.85E-08,0.762141314,0.588028072,0.936254556,0.088834919,9.55E-18,0.73546581,0.072760217,0.592858405,0.878073214,5.09E-24,0,0.600701534
Body mass index (BMI),Body composition by impedance,ukb-b-19953,Type2-Diabetes,0.751140975,0.527110406,0.975171545,0.114303411,4.98E-11,0.690205871,0.531907255,0.848504487,0.080766084,1.28E-17,0.710497924,0.065961178,0.581216391,0.839779457,4.70E-27,0,0.663287158
Leg fat mass (right),Body composition by impedance,ukb-b-18096,Type2-Diabetes,0.948883408,0.644454008,1.253312808,0.155323977,1.00E-09,0.894948985,0.683931368,1.105966603,0.107664028,9.38E-17,0.912452744,0.088485304,0.739024735,1.085880754,6.22E-25,0,0.77535075
Arm fat percentage (right),Body composition by impedance,ukb-b-12854,Type2-Diabetes,0.90101165,0.581373209,1.220650091,0.163083834,3.30E-08,0.882361066,0.671923202,1.09279893,0.10736823,2.07E-16,0.88800059,0.089678001,0.712234939,1.063766241,4.08E-23,0,0.923902272
Body fat percentage,Body composition by impedance,ukb-b-8909,Type2-Diabetes,0.638196141,0.305372531,0.97101975,0.169811084,0.000171091,0.82477841,0.606585962,1.042970858,0.111324723,1.27E-13,0.768692879,0.093101412,0.586217465,0.951168293,1.50E-16,0,0.358147074
